accession,biosample_id,Bioproject,Organism,Starin,Isolation_source,Source_category,Isolation_country,Collection_Date
GCF_016894405,SAMN14833145,PRJNA630372,Lactiplantibacillus plantarum,Lp900,Ogi (red sorghum),Food,Nigeria,1993-05
GCF_016917895,SAMN16825034,PRJNA679166,Enterococcus faecium,ES2,marine sediment,Environmental,Italy,2018
GCF_016917915,SAMN16825035,PRJNA679166,Enterococcus faecium,TF3,marine sediment,Environmental,Italy,2018
GCF_016917925,SAMN16825033,PRJNA679166,Enterococcus faecium,EF3,marine sediment,Environmental,Italy,2018
GCF_016917965,SAMN16825036,PRJNA679166,Enterococcus hirae,GE5,marine sediment,Environmental,Italy,2018
GCF_016917995,SAMN16825032,PRJNA679166,Enterococcus faecalis,EN3,marine sediment,Environmental,Italy,2018
GCF_016921135,SAMN17376698,PRJNA693057,Pediococcus pentosaceus,SL-1,Nham; fermented pork,Food,Thailand,11/17/2017
GCF_016937495,SAMN16986095,PRJNA682279,Enterococcus faecalis,SHM041,urine,Clinical,Malaysia,2019-12
GCF_017009475,SAMN14363926,PRJNA612163,Lactobacillus acidophilus,BCRC 14079,commercial yoghurt,Food,NA,NA
GCF_017009485,SAMN14363914,PRJNA612160,Lactobacillus acidophilus,BCRC 12255,cheese starter,Food,NA,NA
GCF_017009515,SAMN14363925,PRJNA612162,Lactobacillus acidophilus,BCRC 14065,commercial culture,Probiotics,NA,NA
GCF_017009575,SAMN14363928,PRJNA612164,Lactobacillus acidophilus,BCRC 16092,acidophilus milk,Food,NA,NA
GCF_017009585,SAMN14371319,PRJNA612404,Lactobacillus acidophilus,BCRC 17486,intestine,Gut,NA,NA
GCF_017009605,SAMN14371312,PRJNA612394,Lactobacillus acidophilus,BCRC 16099,sweet acidophilus milk,Food,NA,NA
GCF_017009655,SAMN14371318,PRJNA612401,Lactobacillus acidophilus,BCRC 17481,Human intestine,Gut,NA,NA
GCF_017009695,SAMN14371424,PRJNA612405,Lactobacillus acidophilus,BCRC 80064,infant feces,Feces,NA,NA
GCF_017009715,SAMN14401351,PRJNA613347,Lactobacillus acidophilus,La-5,commercial product,Probiotics,NA,NA
GCF_017009725,SAMN14422845,PRJNA613973,Lactobacillus acidophilus,LA1063,commercial product,Probiotics,Taiwan,NA
GCF_017068235,SAMN17975732,PRJNA702588,Lactiplantibacillus plantarum,GR0128,"Fu-Tsai (Fermented vegetable, food)",Food,Taiwan,2007
GCF_017068315,SAMN17976243,PRJNA702615,Limosilactobacillus fermentum,GR1103,probiotic supplement food,Probiotics,Taiwan,2016
GCF_017134335,SAMN17976238,PRJNA702613,Limosilactobacillus fermentum,GR1009,fermented meat sausages(food),Food,Taiwan,2016
GCF_017134355,SAMN17976237,PRJNA702613,Limosilactobacillus fermentum,GR1008,fermented meat sausages(food),Food,Taiwan,2016
GCF_017134375,SAMN17976236,PRJNA702613,Limosilactobacillus fermentum,GR1007,fermented meat sausages(food),Food,Taiwan,2016
GCF_017279935,SAMN17615123,PRJNA352597,Enterococcus faecalis,L10,Rectal swab,Gut,Brazil,2013
GCF_017280035,SAMN18062968,PRJNA352597,Enterococcus faecalis,L13,Rectal swab,Gut,Brazil,2013
GCF_017280215,SAMN18063035,PRJNA352597,Enterococcus faecalis,L16,Rectal swab,Gut,Brazil,2013
GCF_017280235,SAMN18063036,PRJNA352597,Enterococcus faecalis,L18,Rectal swab,Gut,Brazil,2013
GCF_017316145,SAMN09399639,PRJNA313452,Enterococcus sp.,DIV0849a,gut,Gut,USA,2016
GCF_017351995,SAMN18137751,PRJNA706544,Lactiplantibacillus plantarum,AR195,Rice wine rice syrup,Food,China,4/27/2014
GCF_017356365,SAMN12372631,PRJNA523515,Enterococcus faecalis,B9,feces,Feces,Brazil,8/2/2012
GCF_017356405,SAMN12373108,PRJNA523515,Enterococcus faecalis,GT3-2,feces,Feces,Brazil,5/29/2013
GCF_017356425,SAMN12373359,PRJNA523515,Enterococcus faecalis,RD1-1,feces,Feces,Brazil,7/4/2013
GCF_017356445,SAMN12373827,PRJNA523515,Enterococcus faecalis,ST1-20,feces,Feces,Brazil,12/4/2013
GCF_017356505,SAMN12384626,PRJNA523515,Enterococcus hirae,DMW1-1,feces,Feces,Brazil,6/21/2013
GCF_017356525,SAMN12384640,PRJNA523515,Enterococcus hirae,MP1-4,feces,Feces,Brazil,11/2/2012
GCF_017356535,SAMN12384639,PRJNA523515,Enterococcus hirae,MP1-2,feces,Feces,Brazil,11/2/2012
GCF_017356565,SAMN12384629,PRJNA523515,Enterococcus hirae,MP1-1,feces,Feces,Brazil,11/2/2012
GCF_017356585,SAMN12384641,PRJNA523515,Enterococcus hirae,MP1-5,feces,Feces,Brazil,11/2/2012
GCF_017356605,SAMN12373140,PRJNA523515,Enterococcus faecalis,GT6-1,feces,Feces,Brazil,4/25/2014
GCF_017356615,SAMN12384645,PRJNA523515,Enterococcus mundtii,MP7-18,feces,Feces,Brazil,9/19/2013
GCF_017576965,SAMN18323758,PRJNA715032,Lactiplantibacillus plantarum,KLDS1.0386,Traditional fermented dairy products in Inner Mongolia,Food,China,2012-10
GCF_017580905,SAMN13735611,PRJNA598971,Lactiplantibacillus plantarum,B1.3,Brown flour teff injera,Food,South africa,2015-04
GCF_017580935,SAMN13735608,PRJNA598971,Lactiplantibacillus plantarum,EL11,Fermented olive; commercial processor,Food,USA,2009-12
GCF_017580975,SAMN13735607,PRJNA598971,Lactiplantibacillus plantarum,BGM37,Brine from olive fermentation; commercial processor,Food,USA,2011-01
GCF_017581005,SAMN13735606,PRJNA598971,Lactiplantibacillus plantarum,AJ11,Fermented olive; commercial processor,Food,USA,2010-12
GCF_017581025,SAMN13735604,PRJNA598971,Lactiplantibacillus plantarum,K4,Sourdough starter,Food,Bulgaria,2014-09
GCF_017581045,SAMN13735605,PRJNA598971,Lactiplantibacillus plantarum,8.1,Boza,Food,Bulgaria,2014-09
GCF_017581065,SAMN13735603,PRJNA598971,Lactiplantibacillus plantarum,1B1,Cactus,Environmental,USA,2011-10
GCF_017584065,SAMN15566637,PRJNA646837,Enterococcus faecium,VRE3355,rectal swab,Gut,Australia,2014
GCF_017584225,SAMN13284946,PRJNA589608,Lactobacillus delbrueckii subsp. lactis,MAG_rmk202_ldel,cheese starter culture,Food,Switzerland,2/11/2019
GCF_017592585,SAMN18344068,PRJNA715285,Lactiplantibacillus plantarum,Lp-G18,Natural Fermented Milk,Food,China,2011-11
GCF_017603725,SAMN18353823,PRJNA715591,Enterococcus faecium,VB13828,blood,Clinical,India,2020
GCF_017638905,SAMN18236778,PRJNA712632,Lacticaseibacillus paracasei,HL182,stool,Feces,South Korea,2005
GCF_017641325,SAMN10984521,PRJNA523601,Enterococcus faecalis,3UIC2,ICU - bp apparatus,Clinical,South Africa,11/24/2017
GCF_017641365,SAMN10984518,PRJNA523601,Enterococcus faecalis,3UPF3,Peadiatric - mop,Clinical,South Africa,11/24/2017
GCF_017641385,SAMN10984519,PRJNA523601,Enterococcus faecalis,3UPF4,Peadiatric - mop,Clinical,South Africa,11/24/2017
GCF_017641395,SAMN10984520,PRJNA523601,Enterococcus faecalis,3UPH1,Peadiatric - sink,Clinical,South Africa,11/24/2017
GCF_017641425,SAMN10984517,PRJNA523601,Enterococcus casseliflavus,3UPD1,Peadiatric - patient file,Clinical,South Africa,11/24/2017
GCF_017641435,SAMN10984516,PRJNA523601,Enterococcus faecalis,3UIJ202,ICU - unoccupied bed,Clinical,South Africa,11/24/2017
GCF_017641465,SAMN10984513,PRJNA523601,Enterococcus faecalis,3UIA2,ICU - phone,Clinical,South Africa,11/24/2017
GCF_017641485,SAMN10984515,PRJNA523601,Enterococcus faecalis,3UIE2,ICU - ventilator,Clinical,South Africa,11/24/2017
GCF_017641495,SAMN10984514,PRJNA523601,Enterococcus faecalis,3UIC1,ICU - bp apparatus,Clinical,South Africa,11/24/2017
GCF_017641515,SAMN10984512,PRJNA523601,Enterococcus casseliflavus,3MPK4,Peadiatric - nurses table,Clinical,South Africa,11/20/2017
GCF_017641545,SAMN10984511,PRJNA523601,Enterococcus casseliflavus,3MPK3,Peadiatric - nurses table,Clinical,South Africa,11/20/2017
GCF_017641565,SAMN10984510,PRJNA523601,Enterococcus faecalis,3MPJ101,Peadiatric - occupied bed,Clinical,South Africa,11/20/2017
GCF_017641575,SAMN10984507,PRJNA523601,Enterococcus gallinarum,3CPL1,Peadiatric - door handle,Clinical,South Africa,11/15/2017
GCF_017641595,SAMN10984506,PRJNA523601,Enterococcus faecalis,3CPH1,Peadiatric - sink,Clinical,South Africa,11/15/2017
GCF_017641605,SAMN10984508,PRJNA523601,Enterococcus gallinarum,3CPL4,Peadiatric - door handle,Clinical,South Africa,11/15/2017
GCF_017641625,SAMN10984509,PRJNA523601,Enterococcus faecalis,3MPH1,Peadiatric - sink,Clinical,South Africa,11/20/2017
GCF_017641695,SAMN10984502,PRJNA523601,Enterococcus faecalis,2UPJ202,Peadiatric - unoccupied bed,Clinical,South Africa,10/23/2017
GCF_017641725,SAMN10984505,PRJNA523601,Enterococcus gallinarum,3CPD4,Peadiatric - patient file,Clinical,South Africa,11/15/2017
GCF_017641745,SAMN10984500,PRJNA523601,Enterococcus faecalis,2UPF4,Peadiatric - mop,Clinical,South Africa,10/23/2017
GCF_017641765,SAMN10984497,PRJNA523601,Enterococcus faecalis,2UPA3,Peadiatric - phone,Clinical,South Africa,10/23/2017
GCF_017641775,SAMN10984496,PRJNA523601,Enterococcus gallinarum,2UPA1,Peadiatric - phone,Clinical,South Africa,10/23/2017
GCF_017641785,SAMN10984495,PRJNA523601,Enterococcus faecalis,2UIK3,ICU - door handle,Clinical,South Africa,10/23/2017
GCF_017641795,SAMN10984498,PRJNA523601,Enterococcus faecalis,2UPC4,Peadiatric - bp apparatus,Clinical,South Africa,10/23/2017
GCF_017641815,SAMN10984499,PRJNA523601,Enterococcus casseliflavus,2UPD1,Peadiatric - patient file,Clinical,South Africa,10/23/2017
GCF_017641865,SAMN10984493,PRJNA523601,Enterococcus faecalis,2UIJ104,ICU - occupied bed,Clinical,South Africa,10/23/2017
GCF_017641895,SAMN10984491,PRJNA523601,Enterococcus faecalis,2SPJ101,Peadiatric - occupied bed,Clinical,South Africa,10/13/2017
GCF_017641905,SAMN10984494,PRJNA523601,Enterococcus faecalis,2UIK2,ICU - door handle,Clinical,South Africa,10/23/2017
GCF_017641945,SAMN10984489,PRJNA523601,Enterococcus gallinarum,2SIJ202,ICU - unoccupied bed,Clinical,South Africa,10/13/2017
GCF_017641965,SAMN10984488,PRJNA523601,Enterococcus gallinarum,2SIJ201,ICU - unoccupied bed,Clinical,South Africa,10/13/2017
GCF_017641985,SAMN10984485,PRJNA523601,Enterococcus faecalis,2CPF3,Peadiatric - mop,Clinical,South Africa,10/27/2017
GCF_017642005,SAMN10984486,PRJNA523601,Enterococcus faecalis,2CPH2,Peadiatric - sink,Clinical,South Africa,10/27/2017
GCF_017642015,SAMN10984484,PRJNA523601,Enterococcus gallinarum,2CIL2,ICU - door handle,Clinical,South Africa,10/27/2017
GCF_017642045,SAMN10984487,PRJNA523601,Enterococcus faecalis,2MPJ104,Peadiatric - occupied bed,Clinical,South Africa,11/3/2017
GCF_017642065,SAMN10984483,PRJNA523601,Enterococcus faecalis,1MPK4,Peadiatric - nurses table,Clinical,South Africa,10/18/2017
GCF_017642085,SAMN10984482,PRJNA523601,Enterococcus faecalis,1MPK3,Peadiatric - nurses table,Clinical,South Africa,10/18/2017
GCF_017642105,SAMN10984481,PRJNA523601,Enterococcus faecalis,1MPK2,Peadiatric - nurses table,Clinical,South Africa,10/18/2017
GCF_017642145,SAMN10984478,PRJNA523601,Enterococcus faecalis,1MPJ101,Peadiatric - occupied bed,Clinical,South Africa,10/18/2017
GCF_017642205,SAMN10984476,PRJNA523601,Enterococcus faecalis,1MPF1,Peadiatric - mop,Clinical,South Africa,10/18/2017
GCF_017642225,SAMN10984475,PRJNA523601,Enterococcus faecalis,1MPD4,Peadiatric - patient file,Clinical,South Africa,10/18/2017
GCF_017642245,SAMN10984473,PRJNA523601,Enterococcus faecalis,1MPA1,Peadiatric - phone,Clinical,South Africa,10/18/2017
GCF_017642265,SAMN10984474,PRJNA523601,Enterococcus faecalis,1MPA3,Peadiatric - phone,Clinical,South Africa,10/18/2017
GCF_017642285,SAMN10984471,PRJNA523601,Enterococcus faecalis,1CPK2,Peadiatric - nurses table,Clinical,South Africa,9/26/2017
GCF_017642305,SAMN10984472,PRJNA523601,Enterococcus faecalis,1CPK3,Peadiatric - nurses table,Clinical,South Africa,9/26/2017
GCF_017642325,SAMN10984468,PRJNA523601,Enterococcus faecalis,1CIB1,ICU - dripstand,Clinical,South Africa,9/26/2017
GCF_017642365,SAMN10984470,PRJNA523601,Enterococcus faecalis,1CIH3,ICU - sink,Clinical,South Africa,9/26/2017
GCF_017642395,SAMN10984469,PRJNA523601,Enterococcus faecalis,1CID1,ICU - patient file,Clinical,South Africa,9/26/2017
GCF_017695935,SAMN13342918,PRJNA590940,Lactobacillus acidophilus,APC2845,infant feces,Feces,Ireland,2/22/2014
GCF_017742275,SAMN18521540,PRJNA718066,Lactiplantibacillus pentosus,06B0048,Pickled cucumber,Food,Taiwan,2006
GCF_017742875,SAMN18452343,PRJNA716786,Lactiplantibacillus plantarum,LRCC5314,kimchi,Food,South Korea,2016
GCF_017795605,SAMN14558312,PRJNA623728,Lacticaseibacillus rhamnosus,LDTM7511,Korean infant feces,Feces,South Korea,3/18/2016
GCF_017815655,SAMN18533867,PRJNA718447,Enterococcus faecium,VB12993,blood,Clinical,India,2018
GCF_017815675,SAMN18533866,PRJNA718444,Enterococcus faecium,VB3895,blood,Clinical,India,2019
GCF_017815695,SAMN18533868,PRJNA718448,Enterococcus faecium,VB976,blood,Clinical,India,2019
GCF_017897965,SAMN18533763,PRJNA718441,Enterococcus faecium,VB6171,blood,Clinical,India,2019
GCF_017898005,SAMN18533757,PRJNA718440,Enterococcus faecium,VB6521,blood,Clinical,India,2019
GCF_017898025,SAMN18533778,PRJNA718443,Enterococcus faecium,VB3378,blood,Clinical,India,2019
GCF_017963485,SAMN18603901,PRJNA719350,Lactiplantibacillus argentoratensis,XSBN-2,sour bamboo shoot,Food,China,12/5/2020
GCF_017963525,SAMN18607046,PRJNA719432,Lactiplantibacillus plantarum,XSBN-10,sour bamboo shoot,Food,China,12/5/2020
GCF_017963535,SAMN18607063,PRJNA719434,Lactiplantibacillus plantarum,XSBN-13,sour bamboo shoot,Food,China,12/5/2020
GCF_018138005,SAMN18063042,PRJNA352597,Enterococcus faecalis,L21,Rectal swab,Gut,Brazil,2013
GCF_018138025,SAMN18063048,PRJNA352597,Enterococcus faecalis,L17,Rectal swab,Gut,Brazil,2013
GCF_018141205,SAMN18687446,PRJNA720963,Lacticaseibacillus rhamnosus,CE1,cheese,Food,USA,3/31/2014
GCF_018219285,SAMN16327791,PRJNA673360,Enterococcus faecium,PR05720-3,Rectal Swab,Gut,USA,2016
GCF_018219305,SAMN16327755,PRJNA673360,Enterococcus faecium,PR02648-8,Rectal Swab,Gut,USA,2016
GCF_018219325,SAMN16327730,PRJNA673360,Enterococcus faecium,PR01996-12,Rectal Swab,Gut,USA,2016
GCF_018219345,SAMN16327723,PRJNA673360,Enterococcus faecium,PR00859-7,Rectal Swab,Gut,USA,2016
GCF_018228745,SAMN18868053,PRJNA725026,Lacticaseibacillus rhamnosus,X253,fermented milk,Food,China,2020-08
GCF_018252545,SAMN18679498,PRJNA720781,Lactobacillus acidophilus,LA-G80,feces,Feces,China,2009
GCF_018257035,SAMN17146154,PRJNA687492,Leuconostoc suionicum,Dm-2019-54,Kitchen E,Environmental,USA,2019
GCF_018257055,SAMN17146152,PRJNA687492,Leuconostoc mesenteroides,Dm-2019-12,Kitchen E,Environmental,USA,2019
GCF_018257075,SAMN17146150,PRJNA687492,Lactiplantibacillus plantarum,Dm-2019-33,Apple dumpster,Food,USA,2019
GCF_018257095,SAMN17146153,PRJNA687492,Leuconostoc pseudomesenteroides,Dm-9,Apple dumpster,Food,USA,2017
GCF_018257175,SAMN17146146,PRJNA687492,Lacticaseibacillus paracasei,Dm-2019-60,Apple dumpster,Food,USA,2019
GCF_018286375,SAMN18869154,PRJNA720963,Lacticaseibacillus rhamnosus,AS,cheese,Food,USA,3/31/2014
GCF_018286435,SAMN18869149,PRJNA720963,Lacticaseibacillus paracasei subsp. tolerans,2A,yogurt,Food,USA,3/31/2014
GCF_018296025,SAMN16327741,PRJNA673360,Enterococcus faecium,PR02395-7,Rectal Swab,Gut,USA,2016
GCF_018314255,SAMN18876444,PRJNA725342,Lentilactobacillus buchneri,ATCC 4005,tomato pulp,Food,NA,2016-01
GCF_018336555,SAMN13876106,PRJNA601864,Leuconostoc mesenteroides,wikim19,kimchi,Food,NA,NA
GCF_018351295,SAMN14169821,PRJNA608289,Lactiplantibacillus plantarum,ATCC 202195,healthy infant feces,Feces,USA,2017-10
GCF_018363055,SAMN19028092,PRJNA727634,Lacticaseibacillus zeae,FBL8,Raw milk,Food,South Korea,2021
GCF_018363075,SAMN19028091,PRJNA727633,Lacticaseibacillus chiayiensis,FBL7,Raw milk,Food,South Korea,2021
GCF_018363095,SAMN19017040,PRJNA727399,Lacticaseibacillus casei,FBL6,Raw milk,Food,South Korea,2021
GCF_018397115,SAMN18018086,PRJNA703331,Enterococcus casseliflavus,53-1,probiotic product,Probiotics,China,2019
GCF_018397135,SAMN18018087,PRJNA703331,Enterococcus casseliflavus,64-1,probiotic product,Probiotics,China,2019
GCF_018397155,SAMN18018088,PRJNA703331,Enterococcus faecalis,38-1,probiotic product,Probiotics,China,2019
GCF_018397175,SAMN18018089,PRJNA703331,Enterococcus faecalis,39-1,probiotic product,Probiotics,China,2019
GCF_018397215,SAMN18018085,PRJNA703331,Enterococcus gallinarum,74-1,probiotic product,Probiotics,China,2019
GCF_018397315,SAMN18018079,PRJNA703331,Enterococcus lactis,88-2,probiotic product,Probiotics,China,2019
GCF_018397325,SAMN18018080,PRJNA703331,Enterococcus lactis,97-1,probiotic product,Probiotics,China,2019
GCF_018397385,SAMN18018075,PRJNA703331,Enterococcus lactis,76-1,probiotic product,Probiotics,China,2019
GCF_018397575,SAMN18018066,PRJNA703331,Enterococcus lactis,44-1,probiotic product,Probiotics,Australia,2019
GCF_018397615,SAMN18018065,PRJNA703331,Enterococcus lactis,32-1,probiotic product,Probiotics,China,2019
GCF_018397625,SAMN18018063,PRJNA703331,Enterococcus lactis,26-1,probiotic product,Probiotics,China,2019
GCF_018397715,SAMN18018059,PRJNA703331,Enterococcus lactis,7월 1일,probiotic product,Probiotics,China,2019
GCF_018397725,SAMN18018058,PRJNA703331,Enterococcus lactis,6월 1일,probiotic product,Probiotics,China,2019
GCF_018397765,SAMN18018056,PRJNA703331,Enterococcus lactis,4월 1일,probiotic product,Probiotics,China,2019
GCF_018397795,SAMN18018057,PRJNA703331,Enterococcus lactis,5월 1일,probiotic product,Probiotics,China,2019
GCF_018397835,SAMN18018055,PRJNA703331,Enterococcus lactis,3월 1일,probiotic product,Probiotics,China,2019
GCF_018437525,SAMN19131981,PRJNA729578,Latilactobacillus sakei subsp. sakei,ob4.1,feces,Feces,South Korea,2015-05
GCF_018448735,SAMN19229576,PRJNA730352,Pediococcus acidilactici,LSF1-1,Som fak (Thai fermented fish),Food,Thailand,9/8/2004
GCF_018458775,SAMN18473070,PRJNA716959,Lacticaseibacillus rhamnosus,RAB2019A,vaginal swab,Clinical,USA,NA
GCF_018499785,SAMN18827015,PRJNA723731,Enterococcus faecium,S6,camel milk,Food,Kuwait,2017-10
GCF_018517125,SAMN16988090,PRJNA682333,Enterococcus faecalis,18-243,Digestive,Gut,France,2018-04
GCF_018551525,SAMN17215144,PRJNA689714,Lactiplantibacillus argentoratensis,LQC 2422,Greek sourdough,Food,Greece,2018/2019
GCF_018551565,SAMN17215148,PRJNA689714,Lactiplantibacillus argentoratensis,LQC 2520,Greek sourdough,Food,Greece,2018/2019
GCF_018551595,SAMN17215145,PRJNA689714,Lactiplantibacillus argentoratensis,LQC 2441,Greek sourdough,Food,Greece,2018/2019
GCF_018552295,SAMN17215143,PRJNA689714,Lactiplantibacillus argentoratensis,LQC 2320,Greek sourdough,Food,Greece,2018/2019
GCF_018552305,SAMN17215147,PRJNA689714,Lactiplantibacillus argentoratensis,LQC 2516,Greek sourdough,Food,Greece,2018/2019
GCF_018588605,SAMN17313505,PRJNA692080,Lactiplantibacillus plantarum subsp. plantarum,M19,Motal cheese,Food,Iran,2016
GCF_018588615,SAMN17313503,PRJNA692080,Lactiplantibacillus plantarum subsp. plantarum,M17,Motal cheese,Food,Iran,2016
GCF_018588665,SAMN17313476,PRJNA692080,Lactiplantibacillus plantarum subsp. plantarum,M8,Motal cheese,Food,Iran,2016
GCF_018732225,SAMN19373080,PRJNA733287,Latilactobacillus curvatus,SPC-SNU 70-3,sourdough,Food,South Korea,3/5/2021
GCF_018732245,SAMN18711544,PRJNA721242,Limosilactobacillus fermentum,9월 4일,Pumiao rice noodle,Food,China,3/21/2019
GCF_018784985,SAMN12147395,PRJNA548918,Enterococcus faecalis,MCC499,feces,Feces,Ireland,NA
GCF_018866265,SAMN19589998,PRJNA735609,Limosilactobacillus fermentum,L1,the fermented dough in Dali,Food,China,11/5/2017
GCF_018916945,SAMN19374073,PRJNA733006,Weissella confusa,N65,feces,Feces,China,2019-08
GCF_018917085,SAMN19374070,PRJNA733006,Lactiplantibacillus argentoratensis,N104,feces,Feces,China,2019-08
GCF_018917475,SAMN19374047,PRJNA733006,Enterococcus faecalis,N52,feces,Feces,China,2019-08
GCF_018917505,SAMN19374045,PRJNA733006,Enterococcus gallinarum,N13,feces,Feces,China,2019-08
GCF_018966895,SAMN19670540,PRJNA736961,Lacticaseibacillus rhamnosus,F,Infant feces,Feces,Russia,12/22/2010
GCF_018982875,SAMN19601709,PRJNA735894,Lactiplantibacillus pentosus,O17,olive brine,Food,Italy,6/3/2019
GCF_018986755,SAMN19292310,PRJNA731638,Enterococcus faecalis,1207/14,feces,Feces,Poland,2014
GCF_018991195,SAMN18935462,PRJNA674638,Lactiplantibacillus plantarum,3.2.8,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991255,SAMN18938172,PRJNA674638,Lactiplantibacillus sp.,30.2.29,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991285,SAMN18939715,PRJNA674638,Lactiplantibacillus pentosus,1.2.11,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991345,SAMN18939723,PRJNA674638,Lactiplantibacillus pentosus,1.2.13,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991355,SAMN18940221,PRJNA674638,Lactiplantibacillus pentosus,1.8.6,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991365,SAMN18977394,PRJNA674638,Lactiplantibacillus pentosus,1.2.7,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018991475,SAMN18988549,PRJNA674638,Leuconostoc citreum,3.8.12,cucumber fermentation brine,Food,USA,9/21/2010
GCF_018991535,SAMN18987059,PRJNA674638,Lactiplantibacillus pentosus,7.8.2,cucumber fermentation brine,Food,USA,9/21/2010
GCF_018991785,SAMN19608125,PRJNA674638,Leuconostoc mesenteroides,1.2.47,cucumber fermentation brine,Food,USA,9/21/2010
GCF_018991795,SAMN18995143,PRJNA674638,Weissella cibaria,7.8.34,cucumber fermentation brine,Food,USA,9/21/2010
GCF_018993285,SAMN18937939,PRJNA674638,Lactiplantibacillus plantarum,7.8.4,Cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993325,SAMN18938100,PRJNA674638,Lactiplantibacillus plantarum,T1R2B,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993345,SAMN18942671,PRJNA674638,Lactiplantibacillus pentosus,3.8.24,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993485,SAMN18977487,PRJNA674638,Lactiplantibacillus pentosus,7.2.23,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993495,SAMN18942672,PRJNA674638,Lactiplantibacillus pentosus,3.2.37,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993585,SAMN18942680,PRJNA674638,Lactiplantibacillus pentosus,MU0445,cucumber fermentation brine,Food,USA,4/15/1987
GCF_018993725,SAMN18985901,PRJNA674638,Lactiplantibacillus pentosus,3.2.36,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993825,SAMN18995118,PRJNA674638,Weissella cibaria,3.8.44,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993945,SAMN19608333,PRJNA674638,Lactiplantibacillus pentosus,1.8.9,cucumber fermentation brine,Food,USA,5/20/2009
GCF_018993965,SAMN19608004,PRJNA674638,Lactiplantibacillus pentosus,LA0445,cucumber fermentation brine,Food,USA,7/15/1983
GCF_019008315,SAMN14944482,PRJNA633488,Pediococcus pentosaceus,ET34,sliced vaccum-packed cold-smoked salmon,Food,Portugal,2004
GCF_019048965,SAMN11026499,PRJNA524441,Leuconostoc mesenteroides,WiKim32,Baechu-kimchi,Food,South Korea,4/1/2015
GCF_019061205,SAMN19820174,PRJNA740110,Apilactobacillus waqarii,HBW1,gut,Gut,Pakistan,2/25/2018
GCF_019076805,SAMN17313385,PRJNA692073,Lactiplantibacillus plantarum,XJ25,wine,Food,China,2016-06
GCF_019107585,SAMN19855027,PRJNA741117,Lacticaseibacillus casei,N,Fermented milk,Food,India,2016-10
GCF_019164975,SAMN19473535,PRJNA734144,Enterococcus faecalis,SPARC1,local cheese,Food,Pakistan,1/12/2019
GCF_019175405,SAMN18436391,PRJNA716473,Lacticaseibacillus paracasei subsp. paracasei,GR0548,infant feces,Feces,Taiwan,2008-12
GCF_019175425,SAMN18631322,PRJNA719983,Enterococcus faecium,F88,stream/river surface water,Environmental,Switzerland,3/2/2020
GCF_019175445,SAMN18631321,PRJNA719983,Enterococcus faecium,F39,stream/river surface water,Environmental,Switzerland,1/9/2020
GCF_019175465,SAMN18631320,PRJNA719983,Enterococcus faecium,F179,stream/river surface water,Environmental,Switzerland,5/12/2020
GCF_019175485,SAMN18631319,PRJNA719983,Enterococcus raffinosus,F162_2,stream/river surface water,Environmental,Switzerland,5/3/2020
GCF_019175505,SAMN18631314,PRJNA719983,Enterococcus hirae,F104,stream/river surface water,Environmental,Switzerland,3/9/2020
GCF_019186675,SAMN14671187,PRJNA627463,Enterococcus casseliflavus,KresVRE0003,Rectal screening,Gut,Norway,5/12/2017
GCF_019201565,SAMN18631318,PRJNA719983,Enterococcus faecalis,F162_1,stream/river surface water,Environmental,Switzerland,5/3/2020
GCF_019201575,SAMN18631316,PRJNA719983,Enterococcus faecalis,F106,stream/river surface water,Environmental,Switzerland,3/9/2020
GCF_019201605,SAMN18631315,PRJNA719983,Enterococcus hirae,F105,stream/river surface water,Environmental,Switzerland,3/9/2020
GCF_019201635,SAMN18631317,PRJNA719983,Enterococcus faecalis,F143,stream/river surface water,Environmental,Switzerland,3/16/2020
GCF_019203145,SAMN19988607,PRJNA742929,Enterococcus lactis,JDM1,fecal sample,Feces,China,5/1/2020
GCF_019211765,SAMN19988593,PRJNA742937,Lactiplantibacillus plantarum subsp. plantarum,GR1184,food,Food,Taiwan,2019
GCF_019211785,SAMN19988498,PRJNA742940,Lactiplantibacillus plantarum subsp. plantarum,GR1187,food,Food,Taiwan,2019
GCF_019222705,SAMN20059107,PRJNA743738,Enterococcus faecalis,NS2,water,Environmental,China,2019-05
GCF_019265985,SAMN19969485,PRJNA320351,Lentilactobacillus parabuchneri,IPLA11151,cheese,Food,Spain,2012
GCF_019266005,SAMN19969475,PRJNA320351,Lentilactobacillus parabuchneri,IPLA11129,cheese,Food,Spain,2012
GCF_019266025,SAMN19969455,PRJNA320351,Lentilactobacillus parabuchneri,IPLA11125,cheese,Food,Spain,2021
